name,purpose,programmatic type,unittype,length,output,MAS,SS,r4ss,Ind1,Ind2,,AMAK Input,AMAK Output (from ForR.rep)
number of forecast years,scalar,integer,integer,1,Nforecastyears,,,,,,,nprojyrs,Projectionyears
number of fleets,scalar,integer,integer,1,Nfleets,,,,,,,nfsh,
number of morphs,scalar,integer,integer,1,Ngrowthmorphs,,,,,,,,
number of seasons,scalar,integer,integer,1,Nseasons,,,,,,,,
number of recruitment groups,scalar,integer,integer,,Nrecrgroups,,,,,,,,
number of length bins,scalar,integer,integer,1,Nlenbins,,,,,,,numbers of length intervals (nlength),
number of sexes,scalar,integer,integer,1,Nsexes,,,,,,,,
recruitment groups,index,integer,integer,1,Recrgroup,,,,,,,,
number of years,scalar,integer,integer,1,Nyears,,,,,,,,
ages,index,integer,year,1,Nages,,,,,,,nages,
fleet,index,string,string,nfleets,Fleet,,,,,,,,
growth morph,index,integer,integer,ngrowthmorphs,Growthmorph,,,,,,,,
Year,index,integer,year,nyears,Year,,,,,,,styr and endyr,Yr
Spawning stock biomass,derived quantity,double,ton,nyears,Spawnstockbio,,,,,,,,SSB
Instantaneous fishing mortality,derived quantity,double,unitless,nyears ,Fishingmort,,,,,,,,Derived from TotF (e.g. Annual aprical F) 
Spawning potential ratio,derived quantity,double,unitless,1,Spawningpotratio,,SPRratio,,,,,,phizero (virgin SPR)
Total biomass (males +females),derived quantity,double,ton,nyears,Totbio,,TotBio,,,,,,TotBiom
Total catch (m+f) in weight,derived quantity,double,ton,nyears,Totcatch,,TotCatch,,,,,,Predcatch from each fleet
Catch input in weight,data,double,ton,nyears,CatchinputWeight,catchbiomass,catch,,,,,catch,Obscatch from each fleet
Catch input in numbers,data,double,thousands of fish,nyears,CatchinputN,,,,,,,,
season,index,string,season,nseasons,season,,,,,,,,
sex,index,string,sex,nsexes,sex,,,,,,,,
age,index,integer,age,nages,age,,,,,,,,
survey in weight,data,double,ton,nyears,Surveyweight,surveybiomass,,,,,,,
survey in numbers,data,double,thousands of fish,nyears,Surveynum,,,,,,,biomind,ObsSurvey1 (from a survey)
age composition,data,,proportion,"(nyears,nages)",agecomp,<catch/survey>proportionatage,,,,,,page<fsh/ind>,pobs<fsh/ind>  for observation or phat<fsh/ind> for prediction
length composition,data,,proportion,"(nyears,nlenbins)",lengthcomp,N/A,,,,,,,
conditional age-at-length composition,data,,proportion,"(nyears*nages,nlenbins)",caalcomp,N/A,,,,,,,
L2,parameter,,cm,1,lamax,lmax,,LatAmax,sex,morph,,,
L1,parameter,,cm,1,lamin,lmin,,LatAmin,sex,morph,,,
Wtlen coefficient,parameter,,,1,wtlenalpha,alphaf,,Wtlen1,sex,,,,
Wtlen exponent,parameter,,,1,wtlenbeta,betaf,,Wtlen2,sex,,,,
M,parameter,,unitless,,natmort,M,,NatMp,parnum,sex,morph,NaturalMortality/M,M
log(R0),parameter,,bio,1,logr0,R0,,SRLN(R0),,,,,logRzero (from amak.std)
Steepness,parameter,,,,steepness,g,,SRBHsteep,,,,Steepness,Steep
SigmaR,parameter,,,1,sigmar,sigmar,,SRsigmaR,,,,SigmaR,Sigmar
Recruitment rho,parameter,,,1,recrautocorr,rho,,SRautocorr,,,,,
K,parameter,,,1,growthk,c,,VonBertK,sex,morph,,K,
age-sel parameters,parameter,,,nageselex,selage,a50,,AgeSelP,parnum,fleet,,inflection,sel50<fsh/ind> (from amak.std)
length-sel parameters,parameter,,,nlenselex,sellength,s,,SizeselP,parnum,fleet,,,
catchability,parameter,,,,q,,,Q,type,parnum,year/seas/fleet,catchability/q,Q
log catchability,parameter,,,,lnq,,,LnQ,type,parnum,year/seas/fleet,,logq
growth CV young,parameter,,,,cvyoung,,,CVyoung,sex,group,,,
growth CV old,parameter,,,,cvold,,,CVold,sex,group,,,
age at 50% maturity,parameter,,age,,matage50,,,Mat50%,sex,,,,
slope at 50% maturity,parameter,,,,matslope,,,Matslope,sex,,,maturity vector,maturea vector
length at 50% maturity,parameter,,cm,,matlen50,,,,,,,,
stock-recruit environmental link,parameter,,,,recrenvlink,,,SRenvlink,,,,,
stock-recruit offset,parameter,,,nrecrgroup,recroffset,,,offset,,,,,
recruitment distribution,parameter,,,nrecrgroup,recrdist,,,RecrDist,ind,group,,,
early recruitment dev,parameter,,,nages,recrdev,,,EarlyRecrDev,year,early,,,recdev (from amak.std)
main recruitment dev,parameter,,,nyears,recrdev,,,MainRecrDev,year,main,,,recdev (from amak.std)
initial early recruitment dev,parameter,,,nages,recrdev,,,EarlyInitAge,age,init,,,
forecast recruitment dev,parameter,,,nforecastyears,recrdevforecast,,,ForeRecr,year,forecast,,,revdevfuture (from amak.std)
implementation error,parameter,,,nforecastyears,implerrorforecast,,,Implerr,forecastyear,,,,
intercept of fecundity relationship,parameter,,,,eggskgintercept,,,Eggs/kginterFem,sex,,,,
slope of fecundity relationship,parameter,,,,eggskgslope,,,Eggs/kgslopewtFem,sex,,,,
female,index,string,string,1,female,,,Fem,,,,,
male,index,,,1,male,,,Mal,,,,,
